athlete_code,sport,sex,squad
ATH-001,Swimming,M,Swimming - Sprint
ATH-002,Swimming,M,Swimming - Sprint
ATH-003,Swimming,F,Swimming - Sprint
ATH-004,Swimming,F,Swimming - Distance
ATH-005,Swimming,M,Swimming - Distance
ATH-006,Swimming,F,Swimming - Distance
ATH-007,Football,F,Football - Women
ATH-008,Football,F,Football - Women
ATH-009,Football,F,Football - Women
ATH-010,Football,F,Football - Women
ATH-011,Basketball,M,Basketball - Men
ATH-012,Basketball,M,Basketball - Men
ATH-013,Basketball,M,Basketball - Men
ATH-014,Athletics,M,Athletics - Sprints
ATH-015,Athletics,M,Athletics - Sprints
ATH-016,Athletics,F,Athletics - Sprints
