time_s,Fz_left_N,Fz_right_N
0.0000,385.50,376.39
0.0010,384.71,375.62
0.0020,383.42,374.36
0.0030,385.90,376.78
0.0040,383.44,374.39
0.0050,383.88,374.82
0.0060,383.67,374.61
0.0070,385.47,376.37
0.0080,384.67,375.58
0.0090,384.35,375.27
0.0100,384.21,375.14
0.0110,387.10,377.96
0.0120,384.06,374.99
0.0130,384.99,375.89
0.0140,384.57,375.48
0.0150,387.40,378.25
0.0160,383.60,374.54
0.0170,385.57,376.46
0.0180,385.93,376.82
0.0190,384.28,375.20
0.0200,384.66,375.58
0.0210,384.66,375.57
0.0220,385.97,376.85
0.0230,386.83,377.69
0.0240,380.95,371.95
0.0250,383.12,374.07
0.0260,385.47,376.36
0.0270,384.74,375.65
0.0280,384.18,375.10
0.0290,385.04,375.94
0.0300,383.34,374.29
0.0310,384.03,374.96
0.0320,383.08,374.03
0.0330,385.20,376.10
0.0340,387.58,378.43
0.0350,384.62,375.53
0.0360,384.53,375.45
0.0370,380.20,371.22
0.0380,383.11,374.06
0.0390,384.81,375.72
0.0400,384.47,375.39
0.0410,383.61,374.55
0.0420,384.53,375.44
0.0430,381.99,372.97
0.0440,386.43,377.30
0.0450,385.65,376.54
0.0460,386.25,377.12
0.0470,384.91,375.82
0.0480,385.05,375.96
0.0490,384.73,375.64
0.0500,383.42,374.36
0.0510,385.01,375.92
0.0520,386.45,377.32
0.0530,384.04,374.97
0.0540,383.26,374.20
0.0550,382.35,373.32
0.0560,382.94,373.90
0.0570,385.27,376.17
0.0580,383.59,374.53
0.0590,386.48,377.36
0.0600,383.67,374.61
0.0610,381.27,372.27
0.0620,385.07,375.97
0.0630,384.19,375.11
0.0640,383.67,374.61
0.0650,386.35,377.23
0.0660,386.44,377.31
0.0670,384.84,375.75
0.0680,380.89,371.89
0.0690,386.16,377.04
0.0700,383.90,374.83
0.0710,385.69,376.58
0.0720,385.05,375.95
0.0730,383.51,374.45
0.0740,384.17,375.09
0.0750,386.24,377.11
0.0760,385.54,376.44
0.0770,385.03,375.94
0.0780,385.68,376.57
0.0790,383.71,374.65
0.0800,383.65,374.59
0.0810,383.08,374.03
0.0820,385.76,376.64
0.0830,385.00,375.91
0.0840,383.09,374.04
0.0850,384.30,375.22
0.0860,383.96,374.89
0.0870,382.92,373.88
0.0880,386.49,377.36
0.0890,385.09,376.00
0.0900,385.92,376.80
0.0910,385.00,375.90
0.0920,385.03,375.94
0.0930,386.43,377.30
0.0940,382.87,373.83
0.0950,384.46,375.37
0.0960,382.83,373.79
0.0970,385.78,376.67
0.0980,387.41,378.26
0.0990,383.78,374.72
0.1000,384.50,375.42
0.1010,381.81,372.79
0.1020,386.27,377.15
0.1030,385.86,376.74
0.1040,384.36,375.28
0.1050,383.34,374.29
0.1060,383.28,374.22
0.1070,386.27,377.15
0.1080,384.56,375.48
0.1090,385.21,376.11
0.1100,386.00,376.88
0.1110,383.41,374.35
0.1120,384.43,375.35
0.1130,385.43,376.33
0.1140,385.94,376.83
0.1150,383.90,374.83
0.1160,386.44,377.31
0.1170,383.65,374.59
0.1180,383.56,374.50
0.1190,384.08,375.01
0.1200,383.38,374.32
0.1210,384.74,375.65
0.1220,385.44,376.34
0.1230,384.92,375.83
0.1240,382.35,373.32
0.1250,386.87,377.73
0.1260,386.50,377.37
0.1270,386.47,377.34
0.1280,383.93,374.86
0.1290,385.13,376.03
0.1300,384.61,375.53
0.1310,385.41,376.31
0.1320,384.76,375.67
0.1330,385.88,376.76
0.1340,383.19,374.13
0.1350,384.75,375.67
0.1360,385.97,376.86
0.1370,385.90,376.78
0.1380,386.06,376.94
0.1390,383.34,374.28
0.1400,386.33,377.20
0.1410,387.45,378.30
0.1420,385.42,376.32
0.1430,383.79,374.72
0.1440,383.36,374.31
0.1450,386.89,377.75
0.1460,383.73,374.67
0.1470,387.51,378.35
0.1480,385.94,376.83
0.1490,385.67,376.56
0.1500,383.72,374.66
0.1510,385.83,376.72
0.1520,384.15,375.08
0.1530,384.81,375.72
0.1540,383.36,374.30
0.1550,382.52,373.48
0.1560,382.09,373.06
0.1570,383.74,374.68
0.1580,383.49,374.44
0.1590,386.29,377.17
0.1600,385.28,376.18
0.1610,382.99,373.94
0.1620,386.16,377.04
0.1630,383.47,374.41
0.1640,384.58,375.50
0.1650,383.25,374.20
0.1660,381.59,372.58
0.1670,385.87,376.76
0.1680,384.36,375.29
0.1690,385.56,376.45
0.1700,385.05,375.96
0.1710,385.74,376.63
0.1720,385.24,376.14
0.1730,386.53,377.40
0.1740,384.34,375.26
0.1750,383.64,374.58
0.1760,386.33,377.20
0.1770,382.85,373.81
0.1780,385.56,376.46
0.1790,386.05,376.93
0.1800,386.04,376.92
0.1810,383.71,374.64
0.1820,382.61,373.57
0.1830,384.48,375.40
0.1840,386.11,376.99
0.1850,387.56,378.40
0.1860,388.16,378.99
0.1870,381.73,372.72
0.1880,384.35,375.27
0.1890,384.19,375.11
0.1900,383.24,374.19
0.1910,384.33,375.25
0.1920,385.23,376.13
0.1930,384.63,375.55
0.1940,382.40,373.36
0.1950,384.17,375.10
0.1960,383.51,374.46
0.1970,385.07,375.98
0.1980,386.44,377.31
0.1990,382.53,373.50
0.2000,384.21,375.14
0.2010,385.41,376.30
0.2020,384.87,375.78
0.2030,383.12,374.07
0.2040,386.00,376.88
0.2050,384.38,375.30
0.2060,383.87,374.80
0.2070,385.84,376.73
0.2080,385.78,376.66
0.2090,386.36,377.24
0.2100,385.04,375.94
0.2110,383.78,374.72
0.2120,384.82,375.73
0.2130,385.33,376.23
0.2140,383.26,374.21
0.2150,384.63,375.55
0.2160,386.59,377.46
0.2170,383.52,374.47
0.2180,384.02,374.95
0.2190,386.18,377.06
0.2200,382.72,373.68
0.2210,385.16,376.06
0.2220,385.16,376.06
0.2230,386.14,377.02
0.2240,385.26,376.16
0.2250,384.44,375.36
0.2260,386.15,377.03
0.2270,386.08,376.96
0.2280,386.35,377.23
0.2290,384.79,375.70
0.2300,383.84,374.78
0.2310,384.73,375.65
0.2320,383.56,374.50
0.2330,384.87,375.78
0.2340,381.77,372.75
0.2350,385.48,376.37
0.2360,383.60,374.54
0.2370,384.60,375.51
0.2380,384.41,375.33
0.2390,384.54,375.46
0.2400,383.51,374.45
0.2410,384.29,375.21
0.2420,382.02,372.99
0.2430,382.00,372.97
0.2440,385.28,376.18
0.2450,384.46,375.38
0.2460,386.10,376.98
0.2470,383.80,374.73
0.2480,385.34,376.24
0.2490,383.26,374.20
0.2500,385.66,376.55
0.2510,386.43,377.30
0.2520,384.16,375.09
0.2530,383.29,374.23
0.2540,384.81,375.72
