time_s,Fz_left_N,Fz_right_N
0.0000,278.22,307.45
0.0010,278.74,308.02
0.0020,280.15,309.57
0.0030,277.70,306.87
0.0040,275.80,304.76
0.0050,276.80,305.87
0.0060,276.85,305.92
0.0070,278.11,307.32
0.0080,279.00,308.30
0.0090,277.47,306.61
0.0100,277.59,306.75
0.0110,275.15,304.05
0.0120,277.71,306.88
0.0130,277.31,306.43
0.0140,274.87,303.74
0.0150,277.54,306.69
0.0160,280.48,309.93
0.0170,277.36,306.49
0.0180,280.06,309.47
0.0190,278.31,307.54
0.0200,277.72,306.89
0.0210,278.80,308.09
0.0220,277.21,306.33
0.0230,276.44,305.47
0.0240,277.38,306.52
0.0250,277.53,306.68
0.0260,280.60,310.07
0.0270,279.49,308.85
0.0280,277.73,306.89
0.0290,279.27,308.60
0.0300,279.79,309.17
0.0310,278.09,307.29
0.0320,280.58,310.04
0.0330,276.55,305.60
0.0340,276.65,305.70
0.0350,278.04,307.25
0.0360,277.68,306.85
0.0370,278.78,308.06
0.0380,277.50,306.64
0.0390,277.40,306.53
0.0400,277.59,306.75
0.0410,278.03,307.23
0.0420,278.90,308.19
0.0430,278.61,307.87
0.0440,278.53,307.78
0.0450,278.44,307.68
0.0460,278.46,307.70
0.0470,279.83,309.22
0.0480,278.86,308.15
0.0490,278.83,308.11
0.0500,277.46,306.60
0.0510,279.02,308.32
0.0520,278.05,307.25
0.0530,278.07,307.28
0.0540,276.53,305.57
0.0550,277.62,306.78
0.0560,278.72,307.99
0.0570,277.97,307.17
0.0580,276.32,305.34
0.0590,278.07,307.27
0.0600,277.87,307.05
0.0610,277.73,306.90
0.0620,279.44,308.78
0.0630,277.82,307.00
0.0640,277.48,306.63
0.0650,279.82,309.21
0.0660,277.93,307.12
0.0670,277.95,307.15
0.0680,280.98,310.49
0.0690,278.94,308.24
0.0700,281.31,310.85
0.0710,276.58,305.62
0.0720,279.37,308.72
0.0730,278.97,308.27
0.0740,277.63,306.79
0.0750,279.25,308.58
0.0760,277.27,306.40
0.0770,279.64,309.01
0.0780,279.52,308.87
0.0790,278.70,307.97
0.0800,277.67,306.84
0.0810,278.99,308.29
0.0820,278.66,307.92
0.0830,280.05,309.46
0.0840,278.32,307.55
0.0850,281.29,310.83
0.0860,276.50,305.54
0.0870,278.41,307.65
0.0880,278.62,307.88
0.0890,278.95,308.25
0.0900,276.94,306.02
0.0910,277.31,306.44
0.0920,277.16,306.27
0.0930,278.93,308.22
0.0940,277.63,306.79
0.0950,278.22,307.44
0.0960,278.02,307.22
0.0970,279.38,308.72
0.0980,276.68,305.74
0.0990,280.11,309.52
0.1000,276.60,305.65
0.1010,279.22,308.54
0.1020,278.78,308.05
0.1030,279.01,308.31
0.1040,278.49,307.74
0.1050,277.24,306.36
0.1060,278.83,308.12
0.1070,278.07,307.28
0.1080,279.24,308.56
0.1090,278.34,307.57
0.1100,277.71,306.88
0.1110,277.56,306.71
0.1120,279.24,308.57
0.1130,278.69,307.95
0.1140,279.46,308.81
0.1150,277.35,306.48
0.1160,281.29,310.83
0.1170,279.48,308.83
0.1180,279.14,308.46
0.1190,276.13,305.13
0.1200,277.12,306.23
0.1210,277.76,306.93
0.1220,278.26,307.48
0.1230,280.00,309.41
0.1240,278.54,307.79
0.1250,278.95,308.25
0.1260,277.38,306.51
0.1270,279.89,309.29
0.1280,278.98,308.28
0.1290,277.69,306.85
0.1300,279.02,308.32
0.1310,280.52,309.99
0.1320,281.60,311.18
0.1330,281.13,310.66
0.1340,280.39,309.84
0.1350,277.54,306.69
0.1360,279.93,309.33
0.1370,277.54,306.69
0.1380,279.64,309.01
0.1390,278.69,307.96
0.1400,279.09,308.40
0.1410,280.12,309.53
0.1420,279.04,308.35
0.1430,279.79,309.17
0.1440,278.36,307.60
0.1450,277.79,306.96
0.1460,279.84,309.23
0.1470,278.65,307.91
0.1480,278.34,307.57
0.1490,281.18,310.71
0.1500,277.46,306.60
0.1510,279.90,309.29
0.1520,278.74,308.01
0.1530,279.75,309.13
0.1540,277.21,306.33
0.1550,277.93,307.12
0.1560,277.63,306.78
0.1570,279.11,308.42
0.1580,278.70,307.97
0.1590,278.34,307.57
0.1600,278.49,307.74
0.1610,277.89,307.07
0.1620,279.86,309.25
0.1630,277.53,306.68
0.1640,279.07,308.38
0.1650,277.80,306.98
